Period,1-Nov, 2019 -> November 30,2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,South of Vernon,Trail North of Sugar Creek,Robinson at Monroe,Trail West of Hershey,West of Grandview,Shirley,East of Shelbourne,Washington West of Vale Eastbound,Washington West of Vale Westbound,South Side Counter,South of Raab,YAI18086290,West Side Counter,Washington East of Rust Westbound,Washington East of Rust Eastbound,Grove-West of Vale (EB),Grove-West of Vale (WB),East Side Counter,Heartland CC
9/13/2020 0:00,1809,1722,,830,,85,446,,,,1608,,,,,,,,
9/14/2020 0:00,1207,1243,,454,,77,40,,,,1176,,,,,,,,
9/15/2020 0:00,1364,1343,,434,,62,67,,,,1285,,,,,,,,
9/16/2020 0:00,1359,1272,,444,,71,25,,,,1173,,,,,,,,
9/17/2020 0:00,1214,1178,,371,,39,43,,,,1008,,,,,,,,
9/18/2020 0:00,1077,1070,,321,,58,37,,,,924,,,,,,,,
9/19/2020 0:00,1422,1383,,587,,86,61,,,,1164,,,,,,,,
9/20/2020 0:00,1340,1316,,586,,56,55,,,,1262,,,,,,,,
9/21/2020 0:00,1140,1123,,377,,86,54,,,,1096,,,,,,,,
9/22/2020 0:00,1199,1187,,456,,69,37,,,,1138,,,,,,,,
9/23/2020 0:00,1272,1299,,415,,68,30,,,,1185,,,,,,,,
9/24/2020 0:00,1194,1234,,406,,90,27,,,,1081,,,,,,,,
9/25/2020 0:00,1295,1243,,525,,90,35,,,,1161,,,,,,,,
9/26/2020 0:00,1389,1490,,509,,105,31,,,,1235,,,,,,,,
9/27/2020 0:00,1305,1209,,578,,74,44,,,,1155,,,,,,,,
9/28/2020 0:00,756,772,,151,,27,17,,,,778,,,,,,,,
9/29/2020 0:00,851,864,,247,,19,21,,,,827,,,,,,,,
9/30/2020 0:00,875,908,,193,,16,6,,,,704,,,,,,,,
10/1/2020 0:00,668,670,,185,,13,6,,,,533,,,,,,,,
10/2/2020 0:00,773,754,,215,,28,21,,,,626,,,,,,,,
10/3/2020 0:00,616,664,,148,,,47,,,,556,,,,,,,,
10/4/2020 0:00,895,977,,301,,,30,,,,852,,,,,,,,
10/5/2020 0:00,884,926,,216,,0,20,,,,832,,,,,,,,
10/6/2020 0:00,1093,1166,,391,,5,27,,,,1185,,,,,,,,
10/7/2020 0:00,1220,1196,,448,,8,46,,,,1222,,,,,,,,
10/8/2020 0:00,1070,1022,,382,,23,325,,,,1074,,,,,,,,
10/9/2020 0:00,1094,1137,,405,,,14,,,,957,,,,,,,,
10/10/2020 0:00,1562,1522,,661,,,36,,,,1262,,,,,,,,
10/11/2020 0:00,1455,1563,,665,,,56,,,,1318,,,,,,,,
10/12/2020 0:00,772,733,,192,,,10,,,,592,,,,,,,,
10/13/2020 0:00,930,1035,,318,,,22,,,,995,,,,,,,,
10/14/2020 0:00,931,932,,190,,,14,,,,809,,,,,,,,
10/15/2020 0:00,649,668,,129,,,18,,,,650,,,,,,,,
10/16/2020 0:00,716,684,,117,,,7,,,,539,,,,,,,,
10/17/2020 0:00,720,793,,115,,,7,,,,587,,,,,,,,
10/18/2020 0:00,584,597,,151,,,2,,,,413,,,,,,,,
10/19/2020 0:00,541,566,,88,,,3,,,,532,,,,,,,,
10/20/2020 0:00,499,551,,79,,,10,,,,474,,,,,,,,
10/21/2020 0:00,727,673,,224,,,18,,,,633,,,,,,,,
10/22/2020 0:00,1265,1236,,402,,,22,,,,1119,,,,,,,,
10/23/2020 0:00,297,287,,34,,,3,,,,226,,,,,,,,
10/24/2020 0:00,627,626,,159,,,19,,,,648,,,,,,,,
10/25/2020 0:00,439,480,,74,,,9,,,,416,,,,,,,,
10/26/2020 0:00,307,330,,29,,,7,,,,205,,,,,,,,
10/27/2020 0:00,327,318,,35,,,0,,,,322,,,,,,,,
10/28/2020 0:00,606,639,,124,,,5,,,,468,,,,,,,,
10/29/2020 0:00,465,506,,51,,,4,,,,398,,,,,,,,
10/30/2020 0:00,719,628,,110,293,,258,,,,524,,,,,,,,
10/31/2020 0:00,828,859,,185,779,,16,,,,689,,,,,,,,
11/1/2020 0:00,411,438,,28,300,,16,,,,343,,,,,,,,
11/2/2020 0:00,484,462,,72,329,,15,,,,484,,,,,,,,
11/3/2020 0:00,1050,997,,291,872,,19,,,,979,,,,,,,,
11/4/2020 0:00,883,902,,221,651,,14,,,,879,,,,,,,,
11/5/2020 0:00,969,995,,235,786,,18,,,,970,,,,,,,,
11/6/2020 0:00,1185,1116,,302,780,,20,,,,976,,,,,,,,
11/7/2020 0:00,1416,1460,,584,1141,,39,,,,1223,,,,,,,,
11/8/2020 0:00,1476,1396,,539,1163,,28,,,,1138,,,,,,,,
11/9/2020 0:00,929,926,,207,682,,9,,,,857,,,,,,,,
11/10/2020 0:00,540,532,,84,431,,5,,,,278,,,,,,,,
11/11/2020 0:00,469,486,,85,382,,16,,,,,,,,,,,,
11/12/2020 0:00,589,563,,123,508,,14,,,,,,,,,,,,
11/13/2020 0:00,389,379,,59,333,,11,,,,,,,,,,,,
11/14/2020 0:00,330,379,,33,308,,0,,,,,,,,,,,,
11/15/2020 0:00,347,400,,26,261,,1,,,,,,,,,,,,
11/16/2020 0:00,520,583,,120,449,8763,10,,,,,,,,,,,,
11/17/2020 0:00,448,486,,59,375,,5,,,,,,,,,,,,
11/18/2020 0:00,497,485,,79,413,2,9,,,,,,,,,,,,
11/19/2020 0:00,581,545,,85,505,0,9,,,,,,,,,,,,
11/20/2020 0:00,884,781,,260,733,,27,,,,,,,,,,,,
11/21/2020 0:00,525,539,,85,508,0,8,,,,,,,,,,,,
11/22/2020 0:00,380,416,,73,380,0,12,,,,,,,,,,,,
11/23/2020 0:00,391,457,,84,422,3,40,,,,,,,,,,,,
11/24/2020 0:00,234,256,,20,253,0,1,,,,,,,,,,,,
11/25/2020 0:00,194,236,,34,219,2,3,,,,,,,,,,,,
11/26/2020 0:00,448,546,,80,533,6,7,,,,,,,,,,,,
11/27/2020 0:00,465,476,,91,481,6,20,,,,,,,,,,,,
11/28/2020 0:00,644,705,,182,639,20,10,,,,,,,,,,,,
11/29/2020 0:00,495,517,,109,436,14,14,,,,,,,,,,,,
11/30/2020 0:00,256,239,,13,231,0,2,,,,,,,,,,,,
